Direct contribution to employment,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Percentage share,1.87298,1.99739,1.94694,2.0901,2.08854,2.11312,2.22757,2.28349,2.15023,2.19789,2.21984,2.20122,2.63013,2.53784,2.5729,2.66227,2.78937,2.9796,3.07385,2.95143,2.75346,2.73664,2.90853,2.97348,2.96573,2.98109,3.0019,3.02387,3.03274,3.05525,3.07144,3.09587,3.11025,3.12991,3.154,3.18709,3.25283,3.32109
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,17.3567,22.4614,24.2345,23.0518,23.4524,23.7891,25.764,25.8539,25.1992,26.2854,27.7632,27.5281,26.982,28.672,31.5743,32.4144,32.7976,37.1287,34.3419,32.4928,40.801,37.1492,42.1393,40.7188,41.0264,41.5181,41.3092,40.9923,42.8036,44.4571,46.8091,48.7986,50.5442,52.5373,54.3301,56.4798,58.1521,60.5511
Percentage share,7.79299,9.59515,10.2164,9.44302,9.29879,9.20762,9.68407,9.43237,9.02891,9.31347,9.78767,9.65428,9.38771,9.86825,10.7236,10.8596,10.8429,12.1355,11.3938,10.9542,13.6749,12.253,13.7266,13.1041,13.0894,12.4193,12.2647,11.9959,12.3836,12.7162,13.2375,13.6445,13.9735,14.3859,14.7978,15.318,15.7049,16.2883
Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,125.059,117.729,101.567,86.3008,84.8972,83.2288,82.0274,96.2266,100.49,93.2647,94.6295,93.4796,137.4,143.009,163.04,149.366,184.265,197.262,212.46,230.478,244.35,241.679,269.225,279.529,319.934,360.542,363.356,366.641,370.601,372.191,371.716,372.019,371.414,372.705,374.047,374.583,375.432,380.304
Percentage share,4.58942,4.32301,3.74545,3.13394,3.1013,2.97219,2.85526,3.31219,3.26969,2.94775,3.03054,3.0036,4.28377,4.39816,5.06282,4.67122,5.62418,5.90489,6.22987,6.62388,6.96431,6.96505,7.73963,7.80977,8.74926,9.66704,9.66736,9.63482,9.70917,9.7408,9.75898,9.8063,9.82998,9.90421,9.98013,10.0339,10.103,10.2899
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,12162.3,13050.6,13848.8,15041.5,17489.4,17439,17438,17225.6,16965.4,17567.6,17862,18108.1,22013.5,18697,20651.6,21874.7,22185.3,21180.3,23104,21981.1,23676.5,22495.9,21717.9,22045.7,22202.6,22471.2,23024.1,23455.3,24187.2,24725.7,25282.1,25904.5,26578.8,27062.7,27502.4,27967.2,28450.7,29019.7
Percentage share,5.12091,5.36562,5.56143,5.90113,6.70461,6.53434,6.37399,6.14353,5.90483,5.96785,5.92374,5.86449,6.96443,5.77983,6.23935,6.46127,6.40958,5.9885,6.39589,5.96024,6.29094,5.8598,5.54849,5.52587,5.46663,5.44311,5.48262,5.48722,5.55448,5.56771,5.58252,5.6123,5.65458,5.6589,5.65744,5.66488,5.68044,5.71586
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,2398.11,2282.24,2633.17,2906.61,3210.89,3307.23,3336.33,3186.37,3541.37,3663.52,4259.77,3878.45,3734.66,3926.87,3624.28,3255.09,3350.56,3389.42,3147.07,3309.19,3324.14,3012.99,2921.52,2844.05,2970.73,3164.53,3325.83,3403.9,3495.24,3574.07,3652.77,3721.95,3766.83,3803.26,3832.24,3859.21,3880.35,3905.49
Percentage share,3.31804,3.11873,3.48321,3.81612,4.10311,4.18982,4.0805,3.99088,4.14611,4.2227,4.87509,4.38149,4.17111,4.33895,3.96791,3.59757,3.58703,3.58846,3.2913,3.33201,3.23972,2.86834,2.6905,2.56026,2.61256,2.75883,2.85257,2.86732,2.88177,2.89208,2.90749,2.91999,2.91829,2.91321,2.90385,2.8932,2.88048,2.86597
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,1153.97,1141.47,1153.4,1176.3,1206.64,1269.36,1313.13,1294.57,1411.18,1558.93,1664.19,1596.33,1568.59,1610.55,1546.62,1497.79,1437.13,1348.03,1337.05,1215.21,1266.54,1241.84,1147.43,1138.65,1074.54,1109.85,1152.57,1221.23,1224.56,1238.32,1246.46,1255.15,1260.43,1272.2,1285.71,1295.06,1305.81,1312.39
Percentage share,1.91996,1.86277,1.84569,1.84704,1.87476,1.96801,2.0347,2.0048,2.17565,2.37753,2.55479,2.4704,2.4335,2.51171,2.44292,2.37118,2.27065,2.12069,2.09258,1.89044,1.97593,1.96636,1.82177,1.81046,1.71381,1.75851,1.81551,1.92623,1.94843,1.98449,2.00863,2.03246,2.04925,2.07321,2.09943,2.11899,2.14159,2.16335
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,1.13422,0.899826,0.867645,1.05381,1.07406,1.05595,0.918944,1.0298,1.18961,1.18352,0.841056,0.692364,1.14356,1.2023,1.02958,1.21459,1.20408,1.14745,1.27551,1.47365,1.94431,2.15328,2.1202,2.14397,2.15055,2.1398,2.24462,2.36359,2.4801,2.61414,2.70368,2.76794,2.83196,2.90092,2.98395,3.02487,3.06738,3.11112
Percentage share,6.66638,5.15117,4.84102,5.79805,5.82853,5.65281,4.85379,5.36777,6.0886,5.94981,4.15435,3.36122,5.45803,5.62134,4.71696,5.45419,5.30122,4.97331,5.43178,6.06745,7.87018,8.57136,8.30189,8.2601,8.15446,8.08071,8.23259,8.52512,8.78173,9.05001,9.21705,9.22156,9.23316,9.25259,9.16905,9.10497,9.04593,8.97567
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,492.791,471.199,478.659,488.561,486.491,489.536,466.633,484.889,470.459,493.455,575.323,528.596,533.675,571.007,568.131,518.336,529.061,488.875,482.751,484.862,519.333,536.808,534.87,529.42,577.887,592.587,626.547,639.082,644.203,653.139,664.732,678.993,689.591,696.097,700.638,705.319,707.483,712.593
Percentage share,2.92122,2.68329,2.64675,2.6198,2.55922,2.54509,2.35098,2.37523,2.25607,2.32609,2.88565,2.61671,2.52265,2.64706,2.56259,2.34109,2.34511,2.13893,2.08525,2.06924,2.20272,2.2838,2.2449,2.18388,2.34161,2.36422,2.44717,2.47503,2.48755,2.51966,2.56471,2.62603,2.67811,2.71634,2.75099,2.78926,2.81807,2.85909
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,11.8182,0.996075,13.3173,15.063,20.5579,22.8843,31.0855,35.4653,40.6501,31.4921,65.3273,50.2293,92.4502,96.6857,96.0386,83.8247,92.5703,100.146,99.0663,105.956,114.753,117.004,132.073,130.057,125.299,129.042,129.712,133.289,139.758,142.606,145.518,148.385,149.902,149.8,150.424,150.648,151.02,152.368
Percentage share,0.715493,0.06,0.767611,0.843959,1.12039,1.21562,1.61093,1.79686,2.01525,1.52869,3.10632,2.33978,4.22327,4.32562,4.21251,3.60157,3.88928,4.10568,3.94933,4.106,4.31461,4.26583,4.68231,4.47329,4.1922,4.25968,4.19088,4.2295,4.34427,4.34415,4.34594,4.34634,4.30792,4.22057,4.15301,4.07458,4.00321,3.95841
Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,33.4595,40.079,32.4838,47.9491,43.0662,48.3706,47.7516,52.9577,55.3085,51.7592,50.6606,46.6899,53.818,63.1888,70.2391,72.0201,76.4868,76.507,86.7474,126.07,133.393,143.282,167.622,172.417,172.621,189.226,180.207,181.254,184.471,188.36,192.128,195.308,197.312,195.4,196.057,195.658,194.997,196.247
Percentage share,3345950,4007900,19.9082,28.2781,25.4734,28.2437,27.6244,29.3958,28.562,26.4561,25.8023,23.8285,27.5636,31.0129,34.4732,35.2177,34.9654,32.1796,32.6732,41.9884,41.2982,45.1283,52.6699,52.6062,50.2901,52.4172,47.9324,46.8051,46.5876,46.7286,46.936,47.0539,46.9732,46.0573,45.8698,45.5281,45.2185,45.3523
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,198.475,233.846,279.963,250.212,271.343,264.17,345.239,357.047,404.743,386.437,354.785,451.888,344.685,483.307,486.383,421.738,477.693,477.087,462.085,747.056,534.787,611.405,623.889,636.286,659.009,713.254,724.277,749.299,768.911,794.864,824.895,858.095,886.299,913.409,936.528,955.145,965.677,992.943
Percentage share,3.21364,3.65899,4.18793,3.63099,3.84993,3.57809,4.53189,4.67034,4.81837,4.50971,4.12419,5.10239,3.70973,5.07844,5.08541,4.26352,4.76136,4.74023,4.47403,7.05513,4.99096,5.57717,5.41997,5.22465,5.2667,5.3672,5.33888,5.39104,5.39273,5.44173,5.51716,5.60697,5.65775,5.70116,5.72272,5.72121,5.67743,5.73062
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,5.26105,4.95894,6.29743,5.54057,8.50884,7.93253,11.129,11.3577,14.1981,14.2031,15.6736,14.6981,15.4502,18.4089,18.4571,22.1884,22.4841,8.98233,16.5051,59.7683,48.9315,52.5764,55.8629,45.2247,41.9574,46.6261,47.9388,48.1815,49.0257,50.388,51.5528,51.7995,52.0092,51.8111,51.5059,51.3441,51.5391,51.6338
Percentage share,11.0023,10.0836,12.4711,10.6478,15.8695,14.3135,19.3457,18.9611,22.615,21.5329,22.54,20.0678,19.9495,22.236,20.865,23.4189,22.2117,8.32243,14.3472,50.0418,39.4711,40.9471,42.0535,32.9429,29.6456,32.1096,32.2378,31.7035,31.6265,31.9306,32.1542,31.8621,31.6743,31.2869,30.8418,30.4893,30.3527,30.2363
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,6.69178,6.10143,7.54247,7.58731,11.937,21.531,19.4308,9.14196,6.75556,20.227,25.0324,28.4654,30.5125,31.0995,35.2883,37.3181,39.1471,31.661,34.9298,42.2601,28.3108,30.4856,28.4982,18.9749,25.4647,14.7383,16.3758,17.1876,17.9844,18.6015,19.2871,19.7611,20.4812,20.8706,21.2721,21.8357,22.1945,22.2292
Percentage share,0.90028,0.798512,0.962541,0.953539,1.48102,2.81304,2.55736,1.19098,0.877801,2.64371,3.15827,3.49956,3.77163,3.73657,4.0524,4.02785,4.11858,3.26975,3.45874,4.12697,2.71775,3.02947,2.75691,1.82856,2.41051,1.33548,1.37292,1.39893,1.43509,1.46239,1.49388,1.50798,1.53982,1.5691,1.59929,1.64166,1.66864,1.67125
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,95.7508,108.259,123.676,170.504,155.392,75.6029,302.137,306.562,388.337,364.059,324.025,311.091,322.71,337.97,353.204,247.703,287.282,282.86,264.153,283.345,280.393,256.122,263.745,334.252,341.458,433.045,505.215,536.671,583.783,629.585,679.982,731.901,780.918,831.48,884.288,942.453,997.505,1056.94
Percentage share,0.60552,0.675098,0.812537,1.10152,0.98743,0.459062,1.79662,1.78241,2.20876,2.0266,1.76494,1.65849,1.68434,1.72746,1.76842,1.21518,1.38099,1.33244,1.21939,1.28185,1.24321,1.11301,1.04194,1.2697,1.2593,1.56561,1.79059,1.86475,1.98868,2.10266,2.22645,2.34947,2.45767,2.58355,2.7128,2.85465,3.00114,3.15863
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,156.772,175.418,172.346,195.247,220.245,294.565,329.516,366.868,364.092,312.132,348.203,339.331,335.246,307.535,249.998,336.025,355.249,264.08,263.24,310.615,393.963,447.92,369.577,450.64,419.959,456.704,487.352,506.608,523.568,541.594,558.425,577.389,594.218,611.279,628.959,646.205,663.764,680.647
Percentage share,2.06769,2.25072,2.15018,2.37065,2.59447,3.36293,3.646,3.93727,3.79335,3.15582,3.42003,3.24199,3.13824,2.82469,2.25324,2.97838,3.09865,2.26492,2.2235,2.58462,3.22831,3.60228,2.91273,3.47506,3.16096,3.35369,3.47451,3.50977,3.55267,3.59588,3.63138,3.66669,3.68873,3.7244,3.76247,3.79664,3.83141,3.85994
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,95.3734,97.543,100.712,101.355,105.712,106.845,116.607,123.176,129.06,121.189,123.868,127.124,142.205,129.524,123.699,113.19,104.348,106.169,113.112,114.044,108.972,120.683,103.423,103.355,98.2171,98.0447,100.008,100.734,101.571,101.344,102.518,103.066,103.257,104.069,105.912,108.409,110.672,113.7
Percentage share,6.06402,6.39846,6.56149,6.71495,6.98114,6.91366,7.23383,7.3032,7.41468,6.92313,7.12201,7.1972,7.90018,7.0172,6.48946,5.788,5.15529,5.09294,5.29872,5.24466,4.98004,5.5759,4.74356,4.66526,4.43193,4.3338,4.37643,4.3632,4.36957,4.33968,4.36038,4.36344,4.35143,4.36563,4.42277,4.50656,4.57996,4.68421
Other Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,45.8775,39.9376,43.243,36.9742,39.8314,35.1555,49.3551,45.2652,54.356,58.3111,55.5295,59.8258,56.0805,57.571,58.8156,62.8593,60.4439,61.2515,60.202,61.0143,62.8722,62.2921,62.818,64.2849,64.5476,65.5088,66.6222,67.7063,68.7884,69.8829,70.9968,72.1258,73.271,74.4351,75.6171,76.8179,78.0378,79.2769
Percentage share,14.047,12.0621,12.9084,10.8972,11.5789,10.0761,13.954,12.6157,15.6646,16.6365,15.673,16.9095,15.7441,16.0723,16.3513,17.3692,16.61,16.7171,16.3237,16.4326,16.8108,16.5363,16.5485,16.8086,16.751,16.8736,17.0303,17.1772,17.3219,17.4665,17.6128,17.7597,17.9074,18.0564,18.2066,18.3581,18.5108,18.6647
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,510.523,584.869,649.325,721.869,681.935,644.584,764.132,738.391,727.096,762.388,833.549,883.386,915.824,961.605,934.508,1061.97,1155.69,1218.11,1303.41,1292.11,1295.8,1381.83,1450.42,1395.63,1339.38,1353.62,1396.5,1428.11,1463.56,1493.29,1521.29,1547.71,1578.26,1613.26,1647.83,1683.05,1719.13,1759.67
Percentage share,1.78976,1.988,2.20709,2.39267,2.3402,2.13509,2.46018,2.33078,2.28431,2.3012,2.37073,2.39141,2.52154,2.57665,2.40357,2.67903,2.75165,2.88379,2.77616,2.71168,2.63964,2.72068,2.72584,2.59217,2.43857,2.41674,2.42518,2.41483,2.4196,2.4147,2.40709,2.39716,2.39371,2.39545,2.39629,2.39785,2.40036,2.40793
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,5.50747,11.4606,23.5213,20.8613,35.1976,25.8978,21.8468,19.3216,20.529,20.4666,23.0519,26.1096,27.7719,28.604,44.4529,37.8837,40.1574,33.0722,22.1203,21.421,19.9985,33.8837,26.716,21.4298,18.5567,17.9221,16.1941,14.8711,15.2252,15.999,16.7614,17.7952,18.8713,19.5469,20.0048,20.4332,20.8618,21.2911
Percentage share,0.379917,0.761552,1.50274,1.29868,2.14888,1.55405,1.27464,1.08712,1.12689,1.08255,1.17548,1.29332,1.3297,1.33013,2.00858,1.66598,1.71873,1.37735,0.897474,0.847706,0.772812,1.27471,0.980854,0.76653,0.645652,0.608689,0.534978,0.47833,0.476846,0.487908,0.497718,0.514526,0.531295,0.536969,0.536534,0.535348,0.534221,0.532888
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,362.916,400.397,396.903,372.545,397.46,454.907,502.481,591.807,730.397,978.78,1016.3,870.818,1045.46,1055.33,1082.57,1091.4,1114.72,1155.96,1208.91,1338.11,1166.62,1239.21,1130.76,1150.11,1239.84,1257.08,1259.77,1292.81,1318.83,1347.99,1384.3,1422.14,1460.09,1499.39,1538.39,1580.52,1625.35,1667.41
Percentage share,1.71144,1.82761,1.79014,1.6258,1.67735,1.86573,2.0074,2.30486,2.68662,3.53162,3.64122,3.10488,3.80824,3.61966,3.60118,3.56255,3.52673,3.57738,3.70427,3.98726,3.42231,3.53461,3.13643,3.09234,3.29741,3.29788,3.29077,3.23617,3.22754,3.22194,3.23333,3.24775,3.25988,3.27214,3.28548,3.30439,3.32807,3.34884
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,72.9125,83.6672,94.1567,71.8537,80.4996,65.0435,79.681,85.437,79.9432,80.5063,80.4782,82.6596,86.7234,79.9965,79.1339,58.2798,77.6935,83.0742,88.776,95.5221,102.082,85.0633,112.926,126.116,141.576,147.195,152.73,158.381,164.019,169.284,173.093,175.326,175.817,175.846,176.296,175.977,178.356,179.831
Percentage share,5.4602,5.99443,6.27343,4.75805,5.16578,4.03746,4.73306,4.82436,4.25394,4.03621,3.94646,4.0612,4.08581,3.65748,3.67394,2.73691,3.57606,3.65716,3.65804,3.62001,3.53114,2.87673,3.68558,3.96823,4.28555,4.28087,4.28899,4.34525,4.40436,4.4565,4.47654,4.46592,4.41932,4.3643,4.31991,4.25667,4.26191,4.25897
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,1.28098,1.77204,1.52898,1.83719,2.56127,1.68789,3.3247,2.57254,2.61852,1.56775,1.47484,1.74594,1.401,2.44519,1.30106,1.1436,1.25109,2.03536,6.252,6.48129,5.31431,6.58237,7.88727,8.9462,7.4421,7.22712,6.58318,6.7054,6.94707,7.15342,7.35396,7.56933,7.73331,7.94281,8.06267,8.17603,8.29449,8.46113
Percentage share,1.46585,1.97803,1.64124,1.90389,2.55898,1.62656,3.08706,2.30326,2.26226,1.30602,1.18571,1.35593,1.05364,1.78243,0.92009,0.785249,0.834792,1.32277,3.96036,4.00421,3.2035,3.87775,4.53385,5.01723,4.07773,3.78222,3.41021,3.37874,3.40521,3.41089,3.41103,3.41535,3.39599,3.39854,3.36322,3.3267,3.29364,3.27891
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,103.515,109.112,144.448,155.17,173.04,175.382,179.163,177.417,156.548,177.102,193.103,206.71,220.888,213.136,265.558,288.569,300.656,266.659,261.266,246.597,226.323,207.078,221.727,254.206,277.696,300.189,351.878,342.555,347.12,351.98,358.084,366.945,377.207,388.246,399.107,411.354,423.434,438
Percentage share,1.77024,1.86596,2.52327,2.7019,2.96726,2.92027,2.90669,2.84217,2.43188,2.66499,2.6384,2.83464,3.01056,2.96309,3.71293,3.96871,4.15001,3.58564,3.24748,3.10336,2.80733,2.57111,2.74119,3.11061,3.48573,3.69167,4.29899,4.16121,4.19848,4.24453,4.30523,4.39857,4.50805,4.62646,4.74068,4.86966,4.99335,5.1791
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,155.126,160.794,144.721,156.724,152.679,147.165,170.524,171.792,175.789,169.009,169.634,160.523,164.052,174.535,183.555,155.668,140.387,153.262,180.471,182.513,168.915,165.642,226.101,261.285,268.379,264.419,278.735,288.284,297.065,305.429,311.364,319.835,328.548,336,343.496,351.537,358.676,365.922
Percentage share,1.91343,1.94709,1.74719,1.85712,1.76874,1.68275,1.90771,1.89939,1.93858,1.84194,1.82611,1.71046,1.72838,1.86021,1.94152,1.6261,1.43457,1.54152,1.78489,1.77302,1.62372,1.61154,2.15474,2.43991,2.4713,2.411,2.51905,2.59673,2.67265,2.75109,2.81284,2.8995,2.99128,3.07453,3.16129,3.25643,3.34671,3.44474
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,1385.06,1381.43,1542.63,1354.67,1425.92,1454.95,1464.46,1590.11,1497.77,1632.04,1690.31,1652.94,1819.88,1931.13,1976.47,1827.46,2011.19,1754.14,1945.22,1942.87,2049.37,1975.85,1880.91,1845.49,2298.93,2561.64,2210.17,2215.59,2284.73,2360.79,2451.14,2557.21,2670.73,2790.94,2922.53,3093.04,3282.15,3475.51
Percentage share,4.98851,4.81092,5.08143,4.6414,4.73527,4.76124,4.88706,5.14212,4.86517,5.19454,5.61481,5.3906,5.81567,6.01519,5.97826,5.40014,5.79112,4.97526,5.451,5.35971,5.53635,5.2401,4.94489,4.79788,5.90361,6.58402,5.78665,5.73789,5.85043,5.98509,6.16013,6.38796,6.64365,6.92367,7.24234,7.66327,8.14248,8.63994
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,1.27853,1.31853,1.80813,1.30468,1.24381,1.24227,1.26512,1.05628,1.2059,1.4799,1.19837,1.35165,1.06755,1.1798,1.13421,1.1355,1.00206,1.13519,1.11708,0.970214,1.19296,1.22758,1.49142,1.43562,1.89281,1.96362,2.0308,2.07008,2.17652,2.28336,2.33188,2.38927,2.44528,2.47823,2.57455,2.63057,2.68085,2.8095
Percentage share,4.14366,4.35244,5.96862,4.30673,4.18326,4.25844,4.33678,3.69187,4.05576,4.88513,4.03043,4.54595,3.52398,3.8237,3.67593,3.68012,3.24764,3.6134,3.62041,2.98179,3.66635,3.77275,4.50594,4.33736,5.71864,5.93258,6.11675,6.21629,6.51638,6.8158,6.93982,7.06821,7.16936,7.20118,7.36304,7.47202,7.55599,7.85011
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,1.62196,2.93124,4.70483,4.68307,5.52472,5.82344,5.73212,5.94839,6.97656,6.35816,9.14608,9.41298,10.1863,9.25539,8.12234,9.31941,9.30502,8.56917,7.22449,8.48158,8.94506,9.56239,9.21859,8.79434,10.5627,10.688,10.4001,11.0342,11.8136,12.5036,13.1142,13.5321,13.8849,14.2477,14.562,14.8284,15.0681,15.3307
Percentage share,4.80924,8.57389,13.2255,12.6706,14.5833,14.6568,13.9407,14.1487,16.2374,14.4866,20.8386,20.5802,21.6159,19.0793,16.2785,17.6946,17.5137,15.7186,12.6108,14.5702,14.8935,15.5623,14.5647,13.5003,15.8771,15.5263,14.6477,15.1024,15.7138,16.1631,16.4749,16.5212,16.4745,16.39,16.2713,16.1144,15.9445,15.7959
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,362.259,570.033,625.998,661.856,642.56,631.657,846.884,1037.99,1046.82,1155.27,1239.91,1288.48,1412.56,1510.88,1580.15,1529.14,1645.15,1615.08,2051.56,2023.29,1884.9,1653.36,1738.44,1654.48,1813.57,1884.21,1963.51,2034.08,2121.19,2187.48,2241.15,2289.15,2329.74,2352.91,2368.88,2379.02,2398.16,2432.67
Percentage share,1.27226,1.95007,2.09441,2.15815,2.04539,1.9655,2.57189,3.07899,3.0293,3.27006,3.5154,3.57731,3.7568,3.92437,4.00038,3.76654,3.95468,3.80018,4.66473,4.47551,4.05696,3.44874,3.55208,3.29202,3.53371,3.60726,3.70343,3.77632,3.87651,3.9359,3.97016,3.99256,4.00059,3.98765,3.96598,3.93905,3.93101,3.9579
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,41.5872,41.9485,45.9276,57.3129,70.7857,41.2422,30.7949,28.4854,21.9248,24.725,22.6705,32.8395,43.089,37.9436,42.1709,37.5827,36.2786,42.059,46.1634,52.5321,53.4928,58.5052,51.3168,48.9362,46.367,48.7819,50.7108,50.3341,50.4733,53.1388,55.4919,56.7461,57.2502,57.9759,58.8662,59.9102,60.8893,62.2852
Percentage share,2.95946,2.93082,3.19576,4.08358,5.79866,3.92536,2.63912,2.49841,1.96231,2.23321,2.08683,3.08387,4.0366,4.12235,4.59067,4.05482,3.93535,4.51906,4.95069,5.61673,5.56164,6.46746,5.67398,5.29104,4.84828,5.10667,5.34693,5.12679,5.02499,5.17181,5.33873,5.39682,5.38256,5.42219,5.48759,5.57374,5.65919,5.78312
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,10.8178,12.3649,14.0886,15.2559,11.9068,14.2277,11.2224,13.6297,10.4386,11.7428,14.3748,12.9715,13.3813,17.7987,16.0277,18.9771,25.5013,20.7042,19.8541,16.5458,14.7303,18.781,20.2137,21.3797,21.947,20.7834,37.0648,33.0644,32.792,33.0509,33.1441,32.6279,31.8441,31.2955,30.6602,30.0865,29.5553,29.0677
Percentage share,0.672924,0.761159,0.858247,0.951671,0.761023,0.932299,0.754399,0.92317,0.727125,0.855766,1.07491,0.99919,1.0473,1.40712,1.44864,1.71336,2.35752,1.88597,1.81747,1.50212,1.24506,1.62917,1.70551,1.8194,1.87133,1.78444,3.13911,2.74648,2.69897,2.68952,2.66696,2.60517,2.52876,2.47705,2.42688,2.38163,2.33974,2.30682
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,193.095,203.045,196.641,206.65,205.28,220.159,203.345,194.237,191.798,194.442,200.171,193.97,210.86,211.608,214.561,218.333,223.414,233.537,228.002,220.021,228.179,228.157,221.351,214.774,224.21,222.463,229.14,233.042,240.622,247.455,254.206,259.511,264.728,270.737,276.775,282.975,289.375,295.982
Percentage share,5.83722,6.07646,5.76236,5.95276,5.79395,6.1734,5.49991,5.41294,5.32262,5.35864,5.45969,5.21317,5.61257,5.59411,5.67707,5.74031,5.8364,6.02846,5.7836,5.48215,5.57812,5.60179,5.38495,5.13845,5.30128,5.22145,5.33077,5.41519,5.59893,5.76542,5.93036,6.06211,6.19217,6.34113,6.49119,6.64734,6.81896,7.00666
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,17.9761,22.206,12.3096,11.7943,27.6185,35.8303,43.7464,69.1633,72.0189,71.0154,56.3678,54.5177,46.8983,45.5297,43.1859,55.3365,70.2715,61.8565,56.9088,53.3318,45.9637,59.8951,63.3166,68.0352,87.8177,89.7486,91.4261,92.1465,94.4384,97.3299,101.03,104.628,107.478,109.976,112.578,114.849,116.51,118.472
Percentage share,0.497971,0.60728,0.332387,0.316032,0.742034,0.96458,1.2047,1.91429,1.95348,1.9224,1.52284,1.47234,1.2164,1.17001,1.09857,1.39296,1.7494,1.5227,1.38437,1.28134,1.09035,1.40214,1.46258,1.55502,1.97535,1.99245,2.00943,2.00346,2.04974,2.10219,2.17151,2.23797,2.28786,2.33546,2.38502,2.42737,2.45663,2.49209
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,28.7734,28.878,29.2725,28.9872,11.0603,12.6647,4.74764,-4.97315,21.5065,12.0341,53.7324,70.7292,92.847,75.8471,98.362,92.6408,84.2619,98.6162,97.0818,94.0403,83.0057,88.5651,86.2042,76.8163,73.2659,75.629,76.8075,76.5559,75.8511,75.1504,74.25,73.5829,73.2676,72.9187,72.5571,72.0472,71.5627,71.4299
Percentage share,0.540115,0.542939,0.556299,0.558206,0.215868,0.251205,0.1,-0.102408,0.454677,0.256523,1.14541,1.51958,1.995,1.64573,2.15349,2.04887,1.86507,2.18327,2.16243,2.10742,1.87545,2.01737,1.95167,1.73306,1.64702,1.70697,1.74221,1.74512,1.73775,1.73035,1.7182,1.71133,1.71256,1.7135,1.71512,1.71419,1.71481,1.72384
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
